119-bus high-K sensor-budget exact-reference selection
date=2026-07-02
selection_rule=exact_reference_validation_over_fixed_sensor_policies; train best among K50/K60 candidates
policy,K,exact_top1,sensors
old25,25,0.5818,5 8 11 19 23 27 34 36 44 49 51 57 62 67 74 76 84 88 93 95 102 106 109 111 118
hybrid40_gap2,40,0.6464,5 8 11 14 19 21 23 27 31 34 36 40 42 44 49 51 54 57 62 67 71 74 76 78 80 82 84 86 88 93 95 97 102 104 106 109 111 114 116 118
lin45,45,0.6560,1 4 6 9 12 14 17 20 22 25 28 30 33 36 38 41 44 46 49 52 54 57 60 62 65 67 70 73 75 78 81 83 86 89 91 94 97 99 102 105 107 110 113 115 118
hybrid45_from40_gap2,45,0.6694,5 8 11 14 19 21 23 25 27 31 34 36 40 42 44 47 49 51 54 57 62 65 67 69 71 74 76 78 80 82 84 86 88 93 95 97 100 102 104 106 109 111 114 116 118
hybrid45_from40_gap3,45,0.6580,2 5 8 11 14 19 20 21 23 27 31 32 34 36 40 42 44 49 50 51 54 57 62 67 71 74 76 78 80 82 84 86 88 93 95 97 102 104 106 107 109 111 114 116 118
lin50,50,0.6994,1 3 6 8 11 13 15 18 20 22 25 27 30 32 34 37 39 42 44 46 49 51 54 56 58 61 63 65 68 70 73 75 77 80 82 85 87 89 92 94 97 99 101 104 106 108 111 113 116 118
hybrid50_from40_gap2,50,0.6970,2 5 8 11 14 16 19 21 23 25 27 31 34 36 38 40 42 44 47 49 51 54 57 60 62 65 67 69 71 74 76 78 80 82 84 86 88 91 93 95 97 100 102 104 106 109 111 114 116 118
hybrid50_from40_gap3,50,0.6616,2 5 8 11 14 19 20 21 23 27 28 31 32 34 36 37 40 42 44 49 50 51 54 57 62 67 70 71 74 76 78 80 82 84 86 88 93 95 96 97 101 102 104 106 107 109 111 114 116 118
lin60,60,0.7358,1 3 5 7 9 11 13 15 17 19 21 23 25 27 29 31 33 35 37 39 41 43 45 47 49 51 53 55 57 59 60 62 64 66 68 70 72 74 76 78 80 82 84 86 88 90 92 94 96 98 100 102 104 106 108 110 112 114 116 118
hybrid60_from40_gap2,60,0.6934,2 5 8 11 14 16 19 20 21 23 25 27 28 29 31 32 34 36 37 38 40 42 44 47 49 50 51 54 57 60 62 65 67 69 70 71 74 76 78 80 82 84 86 88 91 93 95 96 97 100 101 102 104 106 107 109 111 114 116 118
hybrid60_from40_gap3,60,0.6626,2 5 8 11 14 19 20 21 23 27 28 31 32 33 34 36 37 40 41 42 44 49 50 51 54 57 58 62 63 66 67 70 71 74 76 78 79 80 81 82 84 86 88 93 95 96 97 101 102 103 104 106 107 108 109 111 112 114 116 118
selected=lin60,60,0.7358
