Counterattack noise-multiplier robustness audit
date=2026-07-02
role=no-retraining robustness stress under higher measurement noise; exact reference uses nominal likelihood scale
case,noise_multiplier,exact_top1,direct_top1,exact_agree,kl_ref_nre,truth_top5,truth_top10,truth_top20,rerank5,rerank10,rerank20
119bus_K60,1.0,0.7480,0.6428,0.7530,0.4054,0.9010,0.9577,0.9972,0.7295,0.7392,0.7475
119bus_K60,1.5,0.6767,0.5490,0.6625,0.6941,0.8455,0.9177,0.9800,0.6512,0.6673,0.6743
119bus_K60,2.0,0.6255,0.4788,0.6015,1.0098,0.7997,0.8792,0.9503,0.5950,0.6118,0.6200
119bus_K60,3.0,0.5168,0.3638,0.4853,1.8726,0.6767,0.7588,0.8413,0.4765,0.4950,0.5048
300bus_K299_miss30,1.0,0.5776,0.3202,0.3566,0.6912,0.8026,0.9374,0.9934,0.5480,0.5690,0.5764
300bus_K299_miss30,1.5,0.4494,0.2470,0.3020,1.0827,0.6882,0.8512,0.9526,0.4092,0.4332,0.4424
300bus_K299_miss30,2.0,0.3534,0.2048,0.2760,1.5747,0.5772,0.7456,0.8874,0.3146,0.3358,0.3472
300bus_K299_miss30,3.0,0.2122,0.1256,0.2350,2.5001,0.3908,0.5562,0.7210,0.1872,0.2000,0.2044
ieee123_K75,1.0,0.8867,0.8592,0.8742,0.0557,1.0000,1.0000,1.0000,0.8958,0.8958,0.8958
ieee123_K75,1.5,0.8842,0.8558,0.8625,0.0609,1.0000,1.0000,1.0000,0.8842,0.8842,0.8842
ieee123_K75,2.0,0.8708,0.8383,0.8475,0.1116,1.0000,1.0000,1.0000,0.8683,0.8683,0.8683
ieee123_K75,3.0,0.8067,0.7442,0.7875,0.3212,0.9850,0.9975,0.9992,0.8017,0.8042,0.8050
SystemData_202_K160,1.0,0.9144,0.9000,0.9206,0.0799,0.9625,0.9838,0.9981,0.9144,0.9156,0.9163
SystemData_202_K160,1.5,0.9062,0.9019,0.9206,0.1211,0.9494,0.9769,0.9950,0.9056,0.9069,0.9081
SystemData_202_K160,2.0,0.8806,0.8756,0.9012,0.2047,0.9325,0.9575,0.9869,0.8806,0.8819,0.8800
SystemData_202_K160,3.0,0.8525,0.8294,0.8688,0.5066,0.9012,0.9263,0.9656,0.8494,0.8506,0.8500
SystemData_417_K220,1.0,0.8350,0.8081,0.8375,0.1809,0.9000,0.9250,0.9688,0.8319,0.8313,0.8325
SystemData_417_K220,1.5,0.8006,0.7612,0.8113,0.3679,0.8762,0.9062,0.9369,0.7981,0.7994,0.7987
SystemData_417_K220,2.0,0.7444,0.6963,0.7500,0.6514,0.8300,0.8606,0.9006,0.7394,0.7381,0.7406
SystemData_417_K220,3.0,0.6944,0.6450,0.7056,1.1627,0.7794,0.8150,0.8325,0.6863,0.6944,0.6931
