Counterattack sensor-dropout robustness audit
date=2026-07-02
role=no-retraining random sensor dropout stress; exact reference uses retained measurements
case,drop_rate,retained_K,exact_top1,direct_top1,exact_agree,kl_ref_nre,truth_top5,truth_top10,truth_top20,rerank5,rerank10,rerank20
119bus_K60,0.00,60,0.7526,0.6517,0.7689,0.4029,0.9157,0.9666,0.9977,0.7329,0.7469,0.7523
119bus_K60,0.10,54,0.7243,0.5171,0.5883,0.7273,0.8503,0.9206,0.9789,0.6843,0.7123,0.7237
119bus_K60,0.20,48,0.6929,0.3637,0.4054,1.6871,0.7331,0.8149,0.8897,0.5940,0.6334,0.6717
119bus_K60,0.40,36,0.6229,0.1463,0.1929,4.8137,0.3900,0.4857,0.5811,0.3214,0.3840,0.4466
ieee123_K75,0.00,75,0.9030,0.8770,0.8800,0.0554,1.0000,1.0000,1.0000,0.9070,0.9070,0.9070
ieee123_K75,0.10,68,0.8720,0.3640,0.3560,3.1098,0.7610,0.8660,0.9370,0.6920,0.7740,0.8280
ieee123_K75,0.20,60,0.8720,0.1890,0.1780,4.1864,0.5310,0.6910,0.8600,0.4940,0.6370,0.7710
ieee123_K75,0.40,45,0.8190,0.0960,0.0760,4.7300,0.3760,0.5430,0.7600,0.3380,0.4680,0.6380
SystemData_202_K160,0.00,160,0.9346,0.9223,0.9300,0.0679,0.9669,0.9862,1.0000,0.9308,0.9338,0.9338
SystemData_202_K160,0.10,144,0.9092,0.5977,0.5954,2.1274,0.8038,0.8454,0.8854,0.7923,0.8300,0.8600
SystemData_202_K160,0.20,128,0.9000,0.3831,0.3800,3.2833,0.6292,0.7054,0.7769,0.6277,0.6954,0.7577
SystemData_202_K160,0.40,96,0.8662,0.1685,0.1700,4.1917,0.3615,0.4577,0.5654,0.3592,0.4508,0.5546
SystemData_417_K220,0.00,220,0.8385,0.8038,0.8400,0.1707,0.9031,0.9308,0.9654,0.8331,0.8354,0.8362
SystemData_417_K220,0.10,198,0.8077,0.5038,0.5131,2.0801,0.6908,0.7408,0.7823,0.6531,0.6977,0.7308
SystemData_417_K220,0.20,176,0.7931,0.3746,0.3808,2.8660,0.5700,0.6285,0.6800,0.5392,0.5923,0.6415
SystemData_417_K220,0.40,132,0.7862,0.2138,0.2146,3.6881,0.3962,0.4615,0.5492,0.3738,0.4331,0.5146
