method,bin_lo,bin_hi,n,accuracy,confidence
Reference,0.00,0.10,0,,
Reference,0.10,0.20,135,0.148148,0.179902
Reference,0.20,0.30,309,0.223301,0.241028
Reference,0.30,0.40,157,0.343949,0.345638
Reference,0.40,0.50,123,0.406504,0.450391
Reference,0.50,0.60,187,0.556150,0.551317
Reference,0.60,0.70,140,0.642857,0.650741
Reference,0.70,0.80,132,0.727273,0.751692
Reference,0.80,0.90,136,0.875000,0.851324
Reference,0.90,1.00,1081,0.994450,0.991889
Raw_NRE,0.00,0.10,0,,
Raw_NRE,0.10,0.20,269,0.156134,0.176987
Raw_NRE,0.20,0.30,229,0.187773,0.239453
Raw_NRE,0.30,0.40,137,0.321168,0.348011
Raw_NRE,0.40,0.50,123,0.479675,0.446820
Raw_NRE,0.50,0.60,192,0.588542,0.549390
Raw_NRE,0.60,0.70,144,0.611111,0.647503
Raw_NRE,0.70,0.80,135,0.785185,0.751612
Raw_NRE,0.80,0.90,140,0.864286,0.845944
Raw_NRE,0.90,1.00,1031,0.994180,0.991680
Calibrated_NRE,0.00,0.10,0,,
Calibrated_NRE,0.10,0.20,280,0.160714,0.175968
Calibrated_NRE,0.20,0.30,230,0.182609,0.239338
Calibrated_NRE,0.30,0.40,138,0.340580,0.347602
Calibrated_NRE,0.40,0.50,124,0.500000,0.446393
Calibrated_NRE,0.50,0.60,195,0.574359,0.549904
Calibrated_NRE,0.60,0.70,141,0.666667,0.648656
Calibrated_NRE,0.70,0.80,139,0.776978,0.750677
Calibrated_NRE,0.80,0.90,133,0.879699,0.843961
Calibrated_NRE,0.90,1.00,1020,0.994118,0.991390
