SoCal synchronized event-window measurement shift audit
date=2026-07-02
role=real-measurement synchronized event audit; not a ground-truth posterior benchmark
measurement_window=2024-11-14T07:00:00 to 2024-11-14T07:30:42 UTC
measurement_rows_after_asof_merge=1843
event_count=4
events
device,event_utc,state
cb_121,2024-11-14T07:09:00,NC
cb_123,2024-11-14T07:20:05,NC
cb_128,2024-11-14T07:20:21,NO
swmp_17-2,2024-11-14T07:30:42,NC
feature_shift_rows
device,event_utc,state,window_sec,feature,pre_n,post_n,pre_mean,post_mean,delta,std_delta
cb_121,2024-11-14T07:09:00,NC,60,mains_v,60,61,304.993,302.728,-2.26565,-0.964212
cb_121,2024-11-14T07:09:00,NC,60,frequency,60,61,59.979,59.9863,0.00728386,0.722948
cb_121,2024-11-14T07:09:00,NC,60,rms,60,61,403.345,400.002,-3.3422,-1.72036
cb_121,2024-11-14T07:09:00,NC,60,magnitude_harmonic_0,60,61,695886,690310,-5575.83,-1.67464
cb_121,2024-11-14T07:09:00,NC,60,magnitude_harmonic_1,60,61,2231.97,2098.24,-133.728,-0.29049
cb_121,2024-11-14T07:09:00,NC,60,magnitude_harmonic_2,60,61,4326.27,4981.9,655.627,0.388517
cb_121,2024-11-14T07:09:00,NC,180,mains_v,180,181,303.96,298.687,-5.27329,-1.25629
cb_121,2024-11-14T07:09:00,NC,180,frequency,180,181,59.9754,59.9868,0.0114185,1.10938
cb_121,2024-11-14T07:09:00,NC,180,rms,180,181,402.213,392.398,-9.8143,-1.55496
cb_121,2024-11-14T07:09:00,NC,180,magnitude_harmonic_0,180,181,694117,676768,-17349.3,-1.55645
cb_121,2024-11-14T07:09:00,NC,180,magnitude_harmonic_1,180,181,2104.27,2009.09,-95.1798,-0.203323
cb_121,2024-11-14T07:09:00,NC,180,magnitude_harmonic_2,180,181,4394.83,4205.48,-189.351,-0.110279
cb_121,2024-11-14T07:09:00,NC,300,mains_v,300,301,304.226,297.784,-6.44174,-1.73858
cb_121,2024-11-14T07:09:00,NC,300,frequency,300,301,59.9764,59.9905,0.0141073,1.35473
cb_121,2024-11-14T07:09:00,NC,300,rms,300,301,402.821,390.427,-12.3944,-2.27606
cb_121,2024-11-14T07:09:00,NC,300,magnitude_harmonic_0,300,301,695273,673282,-21991.4,-2.28475
cb_121,2024-11-14T07:09:00,NC,300,magnitude_harmonic_1,300,301,1995.21,2027.19,31.9746,0.0736063
cb_121,2024-11-14T07:09:00,NC,300,magnitude_harmonic_2,300,301,4432.8,3499.92,-932.88,-0.573197
cb_123,2024-11-14T07:20:05,NC,60,mains_v,60,61,296.597,297.842,1.24519,0.677838
cb_123,2024-11-14T07:20:05,NC,60,frequency,60,61,59.9769,59.9721,-0.00471239,-0.554301
cb_123,2024-11-14T07:20:05,NC,60,rms,60,61,388.657,391.897,3.23945,1.59934
cb_123,2024-11-14T07:20:05,NC,60,magnitude_harmonic_0,60,61,670190,676055,5865.28,1.64327
cb_123,2024-11-14T07:20:05,NC,60,magnitude_harmonic_1,60,61,1704.01,1831.67,127.663,0.295334
cb_123,2024-11-14T07:20:05,NC,60,magnitude_harmonic_2,60,61,1913.14,1968.13,54.9879,0.0632185
cb_123,2024-11-14T07:20:05,NC,180,mains_v,180,181,297.642,298.937,1.29545,0.44977
cb_123,2024-11-14T07:20:05,NC,180,frequency,180,181,59.9748,59.9687,-0.00606773,-0.7503
cb_123,2024-11-14T07:20:05,NC,180,rms,180,181,389.686,393.525,3.83923,1.0478
cb_123,2024-11-14T07:20:05,NC,180,magnitude_harmonic_0,180,181,671923,678908,6984.38,1.06101
cb_123,2024-11-14T07:20:05,NC,180,magnitude_harmonic_1,180,181,1744.43,1802.07,57.6458,0.115991
cb_123,2024-11-14T07:20:05,NC,180,magnitude_harmonic_2,180,181,1677.15,2182.28,505.133,0.490491
cb_123,2024-11-14T07:20:05,NC,300,mains_v,300,301,297.259,298.502,1.2434,0.444545
cb_123,2024-11-14T07:20:05,NC,300,frequency,300,301,59.9793,59.9693,-0.0100462,-1.18041
cb_123,2024-11-14T07:20:05,NC,300,rms,300,301,387.979,392.633,4.65467,1.22081
